,date,code,rate,base
0,2023-01-01,RUB,1231482.765625,BTC
1,2023-01-02,RUB,1208670.578125,BTC
2,2023-01-03,RUB,1223141.47619,BTC
3,2023-01-04,RUB,1221056.793651,BTC
4,2023-01-05,RUB,1204975.095238,BTC
5,2023-01-06,RUB,1227204.698413,BTC
6,2023-01-07,RUB,1227155.507937,BTC
7,2023-01-08,RUB,1224661.84127,BTC
8,2023-01-09,RUB,1210317.822581,BTC
9,2023-01-10,RUB,1198845.096774,BTC
10,2023-01-11,RUB,1219647.377049,BTC
11,2023-01-12,RUB,1290138.210526,BTC
12,2023-01-13,RUB,1360758.309091,BTC
13,2023-01-14,RUB,1438859.25,BTC
14,2023-01-15,RUB,1374916.788462,BTC
15,2023-01-16,RUB,1459018.45098,BTC
16,2023-01-17,RUB,1455267.980392,BTC
17,2023-01-18,RUB,1429081.480769,BTC
18,2023-01-19,RUB,1473763.705882,BTC
19,2023-01-20,RUB,1551171.208333,BTC
20,2023-01-21,RUB,1587063.06383,BTC
21,2023-01-22,RUB,1545311.104167,BTC
22,2023-01-23,RUB,1595379.297872,BTC
23,2023-01-24,RUB,1566665.145833,BTC
24,2023-01-25,RUB,1573200.333333,BTC
25,2023-01-26,RUB,1614279.531915,BTC
26,2023-01-27,RUB,1613031.659574,BTC
27,2023-01-28,RUB,1613459.170213,BTC
28,2023-01-29,RUB,1670687.543478,BTC
29,2023-01-30,RUB,1580768.25,BTC
30,2023-01-31,RUB,1631239.085106,BTC
