date,code,rate,base,start_date,end_date
2023-01-01,RUB,"20,065046",AED,2023-01-01,2023-01-31
2023-01-02,RUB,"19,739792",AED,2023-01-01,2023-01-31
2023-01-03,RUB,"19,886329",AED,2023-01-01,2023-01-31
2023-01-04,RUB,"19,741493",AED,2023-01-01,2023-01-31
2023-01-05,RUB,"19,636388",AED,2023-01-01,2023-01-31
2023-01-06,RUB,"19,734159",AED,2023-01-01,2023-01-31
2023-01-07,RUB,"19,735806",AED,2023-01-01,2023-01-31
2023-01-08,RUB,"19,740739",AED,2023-01-01,2023-01-31
2023-01-09,RUB,"19,03446",AED,2023-01-01,2023-01-31
2023-01-10,RUB,"18,844375",AED,2023-01-01,2023-01-31
2023-01-11,RUB,"18,824824",AED,2023-01-01,2023-01-31
2023-01-12,RUB,"18,453198",AED,2023-01-01,2023-01-31
2023-01-13,RUB,"18,781076",AED,2023-01-01,2023-01-31
2023-01-14,RUB,"18,784488",AED,2023-01-01,2023-01-31
2023-01-15,RUB,"17,96626",AED,2023-01-01,2023-01-31
2023-01-16,RUB,"18,718333",AED,2023-01-01,2023-01-31
2023-01-17,RUB,"18,719261",AED,2023-01-01,2023-01-31
2023-01-18,RUB,"18,743697",AED,2023-01-01,2023-01-31
2023-01-19,RUB,"18,89359",AED,2023-01-01,2023-01-31
2023-01-20,RUB,"18,665417",AED,2023-01-01,2023-01-31
2023-01-21,RUB,"18,667475",AED,2023-01-01,2023-01-31
2023-01-22,RUB,"18,576381",AED,2023-01-01,2023-01-31
2023-01-23,RUB,"18,776359",AED,2023-01-01,2023-01-31
2023-01-24,RUB,"18,80158",AED,2023-01-01,2023-01-31
2023-01-25,RUB,"18,832861",AED,2023-01-01,2023-01-31
2023-01-26,RUB,"18,966628",AED,2023-01-01,2023-01-31
2023-01-27,RUB,"18,989396",AED,2023-01-01,2023-01-31
2023-01-28,RUB,"18,987647",AED,2023-01-01,2023-01-31
2023-01-29,RUB,"19,251969",AED,2023-01-01,2023-01-31
2023-01-30,RUB,"19,032574",AED,2023-01-01,2023-01-31
2023-01-31,RUB,"19,213335",AED,2023-01-01,2023-01-31
