date,code,rate,base,start_date,end_date
2023-01-01,RUB,"10,68347",CNY,2023-01-01,2023-01-31
2023-01-02,RUB,"10,510794",CNY,2023-01-01,2023-01-31
2023-01-03,RUB,"10,563449",CNY,2023-01-01,2023-01-31
2023-01-04,RUB,"10,527255",CNY,2023-01-01,2023-01-31
2023-01-05,RUB,"10,48325",CNY,2023-01-01,2023-01-31
2023-01-06,RUB,"10,601738",CNY,2023-01-01,2023-01-31
2023-01-07,RUB,"10,601713",CNY,2023-01-01,2023-01-31
2023-01-08,RUB,"10,601779",CNY,2023-01-01,2023-01-31
2023-01-09,RUB,"10,321873",CNY,2023-01-01,2023-01-31
2023-01-10,RUB,"10,211375",CNY,2023-01-01,2023-01-31
2023-01-11,RUB,"10,213679",CNY,2023-01-01,2023-01-31
2023-01-12,RUB,"10,059504",CNY,2023-01-01,2023-01-31
2023-01-13,RUB,"10,293409",CNY,2023-01-01,2023-01-31
2023-01-14,RUB,"10,293833",CNY,2023-01-01,2023-01-31
2023-01-15,RUB,"9,845475",CNY,2023-01-01,2023-01-31
2023-01-16,RUB,"10,208628",CNY,2023-01-01,2023-01-31
2023-01-17,RUB,"10,151667",CNY,2023-01-01,2023-01-31
2023-01-18,RUB,"10,20242",CNY,2023-01-01,2023-01-31
2023-01-19,RUB,"10,238796",CNY,2023-01-01,2023-01-31
2023-01-20,RUB,"10,107491",CNY,2023-01-01,2023-01-31
2023-01-21,RUB,"10,107957",CNY,2023-01-01,2023-01-31
2023-01-22,RUB,"10,06114",CNY,2023-01-01,2023-01-31
2023-01-23,RUB,"10,166416",CNY,2023-01-01,2023-01-31
2023-01-24,RUB,"10,180754",CNY,2023-01-01,2023-01-31
2023-01-25,RUB,"10,197661",CNY,2023-01-01,2023-01-31
2023-01-26,RUB,"10,269164",CNY,2023-01-01,2023-01-31
2023-01-27,RUB,"10,282017",CNY,2023-01-01,2023-01-31
2023-01-28,RUB,"10,282212",CNY,2023-01-01,2023-01-31
2023-01-29,RUB,"10,424498",CNY,2023-01-01,2023-01-31
2023-01-30,RUB,"10,359178",CNY,2023-01-01,2023-01-31
2023-01-31,RUB,"10,448216",CNY,2023-01-01,2023-01-31
