date;code;rate;base
2023-01-01;RUB;20.065046;AED
2023-01-02;RUB;19.739792;AED
2023-01-03;RUB;19.886329;AED
2023-01-04;RUB;19.741493;AED
2023-01-05;RUB;19.636388;AED
2023-01-06;RUB;19.734159;AED
2023-01-07;RUB;19.735806;AED
2023-01-08;RUB;19.740739;AED
2023-01-09;RUB;19.03446;AED
2023-01-10;RUB;18.844375;AED
2023-01-11;RUB;18.824824;AED
2023-01-12;RUB;18.453198;AED
2023-01-13;RUB;18.781076;AED
2023-01-14;RUB;18.784488;AED
2023-01-15;RUB;17.96626;AED
2023-01-16;RUB;18.718333;AED
2023-01-17;RUB;18.719261;AED
2023-01-18;RUB;18.743697;AED
2023-01-19;RUB;18.89359;AED
2023-01-20;RUB;18.665417;AED
2023-01-21;RUB;18.667475;AED
2023-01-22;RUB;18.576381;AED
2023-01-23;RUB;18.776359;AED
2023-01-24;RUB;18.80158;AED
2023-01-25;RUB;18.832861;AED
2023-01-26;RUB;18.966628;AED
2023-01-27;RUB;18.989396;AED
2023-01-28;RUB;18.987647;AED
2023-01-29;RUB;19.251969;AED
2023-01-30;RUB;19.032574;AED
2023-01-31;RUB;19.213335;AED
2023-01-01;RUB;1231482.765625;BTC
2023-01-02;RUB;1208670.578125;BTC
2023-01-03;RUB;1223141.47619;BTC
2023-01-04;RUB;1221056.793651;BTC
2023-01-05;RUB;1204975.095238;BTC
2023-01-06;RUB;1227204.698413;BTC
2023-01-07;RUB;1227155.507937;BTC
2023-01-08;RUB;1224661.84127;BTC
2023-01-09;RUB;1210317.822581;BTC
2023-01-10;RUB;1198845.096774;BTC
2023-01-11;RUB;1219647.377049;BTC
2023-01-12;RUB;1290138.210526;BTC
2023-01-13;RUB;1360758.309091;BTC
2023-01-14;RUB;1438859.25;BTC
2023-01-15;RUB;1374916.788462;BTC
2023-01-16;RUB;1459018.45098;BTC
2023-01-17;RUB;1455267.980392;BTC
2023-01-18;RUB;1429081.480769;BTC
2023-01-19;RUB;1473763.705882;BTC
2023-01-20;RUB;1551171.208333;BTC
2023-01-21;RUB;1587063.06383;BTC
2023-01-22;RUB;1545311.104167;BTC
2023-01-23;RUB;1595379.297872;BTC
2023-01-24;RUB;1566665.145833;BTC
2023-01-25;RUB;1573200.333333;BTC
2023-01-26;RUB;1614279.531915;BTC
2023-01-27;RUB;1613031.659574;BTC
2023-01-28;RUB;1613459.170213;BTC
2023-01-29;RUB;1670687.543478;BTC
2023-01-30;RUB;1580768.25;BTC
2023-01-31;RUB;1631239.085106;BTC
2023-01-01;RUB;10.68347;CNY
2023-01-02;RUB;10.510794;CNY
2023-01-03;RUB;10.563449;CNY
2023-01-04;RUB;10.527255;CNY
2023-01-05;RUB;10.48325;CNY
2023-01-06;RUB;10.601738;CNY
2023-01-07;RUB;10.601713;CNY
2023-01-08;RUB;10.601779;CNY
2023-01-09;RUB;10.321873;CNY
2023-01-10;RUB;10.211375;CNY
2023-01-11;RUB;10.213679;CNY
2023-01-12;RUB;10.059504;CNY
2023-01-13;RUB;10.293409;CNY
2023-01-14;RUB;10.293833;CNY
2023-01-15;RUB;9.845475;CNY
2023-01-16;RUB;10.208628;CNY
2023-01-17;RUB;10.151667;CNY
2023-01-18;RUB;10.20242;CNY
2023-01-19;RUB;10.238796;CNY
2023-01-20;RUB;10.107491;CNY
2023-01-21;RUB;10.107957;CNY
2023-01-22;RUB;10.06114;CNY
2023-01-23;RUB;10.166416;CNY
2023-01-24;RUB;10.180754;CNY
2023-01-25;RUB;10.197661;CNY
2023-01-26;RUB;10.269164;CNY
2023-01-27;RUB;10.282017;CNY
2023-01-28;RUB;10.282212;CNY
2023-01-29;RUB;10.424498;CNY
2023-01-30;RUB;10.359178;CNY
2023-01-31;RUB;10.448216;CNY
